[SYS] 2026/03/12 - 15:37:48 | One API v0.6.10 started 
[SYS] 2026/03/12 - 15:37:48 | SQL_DSN not set, using SQLite as database 
[SYS] 2026/03/12 - 15:37:48 | database migration started 
[SYS] 2026/03/12 - 15:37:48 | database migrated 
[SYS] 2026/03/12 - 15:37:48 | no user exists, creating a root user for you: username is root, password is 123456 
[SYS] 2026/03/12 - 15:37:48 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/03/12 - 15:37:48 | using theme default 
[SYS] 2026/03/12 - 15:37:48 | initializing token encoders 
[SYS] 2026/03/12 - 15:37:52 | token encoders initialized 
[SYS] 2026/03/12 - 15:37:52 | server started on http://localhost:3001 
[GIN] 2026/03/12 - 15:37:55 | 2026031215375584015600083091628 | 200 |    5.191666ms |             ::1 |     GET /
[GIN] 2026/03/12 - 15:37:55 | 2026031215375589159100048726766 | 200 |   16.726167ms |             ::1 |     GET /static/css/main.57dac90b.css
[GIN] 2026/03/12 - 15:37:55 | 2026031215375589002100084287015 | 200 |   21.051625ms |             ::1 |     GET /static/js/main.c58925f6.js
[GIN] 2026/03/12 - 15:37:56 | 2026031215375598347000025563033 | 200 |   19.093458ms |             ::1 |     GET /static/js/main.c58925f6.js
[GIN] 2026/03/12 - 15:37:56 | 2026031215375625290500083640724 | 200 |     317.666µs |             ::1 |     GET /static/js/832.f0660d30.chunk.js
[GIN] 2026/03/12 - 15:37:56 | 2026031215375627216100051828534 | 200 |      88.791µs |             ::1 |     GET /logo.png
[GIN] 2026/03/12 - 15:37:56 | 2026031215375627306900006603117 | 200 |    1.381792ms |             ::1 |     GET /static/media/icons.38c6d8bab26db77d8c80.woff2
[GIN] 2026/03/12 - 15:37:56 | 2026031215375627435400020742499 | 200 |     287.416µs |             ::1 |     GET /api/status
[GIN] 2026/03/12 - 15:37:56 | 2026031215375627772300061897660 | 200 |      74.125µs |             ::1 |     GET /api/notice
[GIN] 2026/03/12 - 15:37:56 | 2026031215375627792200047928022 | 200 |     135.959µs |             ::1 |     GET /api/home_page_content
[GIN] 2026/03/12 - 15:37:56 | 2026031215375652689100069706598 | 200 |     476.167µs |             ::1 |     GET /static/js/832.f0660d30.chunk.js
[GIN] 2026/03/12 - 15:38:05 | 2026031215380546579700077991026 | 200 |     462.708µs |             ::1 |     GET /api/notice
[GIN] 2026/03/12 - 15:38:05 | 2026031215380546586100072626265 | 200 |     504.625µs |             ::1 |     GET /api/home_page_content
[GIN] 2026/03/12 - 15:38:18 | 2026031215381831232100058020185 | 200 |      78.231ms |             ::1 |    POST /api/user/login
[GIN] 2026/03/12 - 15:38:18 | 2026031215381841196900055561259 | 200 |     711.583µs |             ::1 |     GET /api/user/self
[GIN] 2026/03/12 - 15:38:23 | 2026031215382335938800008641552 | 200 |     495.792µs |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 15:38:23 | 2026031215382335947800030769144 | 200 |    1.195583ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 15:38:24 | 2026031215382416410200031498092 | 200 |    1.476125ms |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 15:38:25 | 2026031215382525580000053849521 | 200 |     834.625µs |             ::1 |     GET /api/redemption/?p=0
[GIN] 2026/03/12 - 15:38:25 | 2026031215382581627100077068051 | 200 |     710.625µs |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 15:38:45 | 2026031215384527079800010178806 | 200 |     299.125µs |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 15:38:45 | 2026031215384527205700057968883 | 200 |     740.709µs |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 15:38:47 | 2026031215384721980000069518105 | 200 |     165.833µs |             ::1 |     GET /api/group/
[GIN] 2026/03/12 - 15:38:47 | 2026031215384721977000083131206 | 200 |    2.280875ms |             ::1 |     GET /api/channel/models
[GIN] 2026/03/12 - 15:38:51 | 2026031215385111661000001597683 | 200 |    1.187209ms |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 15:38:51 | 2026031215385111731300070070531 | 200 |    1.102917ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 15:39:18 | 2026031215391859010400021827948 | 200 |      209.75µs |             ::1 |     GET /api/group/
[GIN] 2026/03/12 - 15:39:18 | 2026031215391858979500017626813 | 200 |    3.214667ms |             ::1 |     GET /api/channel/models
[GIN] 2026/03/12 - 15:42:02 | 2026031215420245753200082677614 | 200 |    2.546208ms |             ::1 |    POST /api/channel/
[GIN] 2026/03/12 - 15:42:08 | 2026031215420857705800031113166 | 200 |     650.667µs |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 15:42:08 | 2026031215420857706100031113166 | 200 |     776.708µs |             ::1 |     GET /api/models
[SYS] 2026/03/12 - 15:42:10 | {"messages":[{"role":"user","content":"hi"}],"model":"deepseek-chat","max_tokens":2} 
[SYS] 2026/03/12 - 15:42:11 | testing channel #1, response: 
